symbol,entry_date,entry_price,exit_date,exit_price,pnl_pct,duration,entry_tag,exit_reason
JIOFIN,2026-04-28,250.81,2026-05-04,248.0,-1.12,3,SavgolCTS Universal-Cross-ReboundBypass,ExitReason.PRT_ST_CROSS
KOTAKBANK,2020-04-22,230.43,2020-05-06,246.2,6.84,9,SavgolCTS Universal-Cross,ExitReason.ST_CROSS
KOTAKBANK,2021-04-06,353.65999999999997,2021-06-09,357.98,1.22,43,Oversold-Decel,ExitReason.PRT_ST_CROSS
KOTAKBANK,2021-12-15,373.48,2022-01-14,381.8,2.23,22,SavgolCTS Trend-Pullback,ExitReason.ST_CROSS
KOTAKBANK,2022-06-28,333.76,2022-07-14,348.0,4.27,12,SavgolCTS Trend-Pullback-CWCBypass,ExitReason.ST_CROSS
KOTAKBANK,2022-10-12,362.04,2022-10-25,382.2,5.57,9,SavgolCTS Trend-Pullback-CWCBypass,ExitReason.ST_CROSS
KOTAKBANK,2022-12-22,365.21,2023-02-21,349.0,-4.44,42,SavgolCTS Trend-Pullback,ExitReason.ST_CROSS
KOTAKBANK,2023-03-27,341.04,2023-06-13,375.07,9.98,51,SavgolCTS SpringBoard,ExitReason.TIME_DECAY
KOTAKBANK,2023-06-20,368.8,2023-09-20,357.39,-3.09,63,SavgolCTS Trend-Pullback-CWCBypass,ExitReason.PRT_ST_CROSS
KOTAKBANK,2023-10-10,351.21999999999997,2023-10-23,353.8,0.73,9,Oversold-Decel,ExitReason.ST_CROSS
KOTAKBANK,2024-02-27,341.35,2024-03-27,351.6,3.0,19,SavgolCTS Trend-Pullback-CWCBypass,ExitReason.ST_CROSS
KOTAKBANK,2024-11-05,351.43,2025-01-08,356.02,1.31,43,SavgolCTS Trend-Pullback-CWCBypass,ExitReason.ST_CROSS
KOTAKBANK,2025-06-03,408.9,2025-07-01,432.7,5.82,20,Oversold-Decel,ExitReason.PRT_ST_CROSS
KOTAKBANK,2025-08-13,397.54,2025-08-26,395.6,-0.49,8,Oversold-Decel,ExitReason.ST_CROSS
KOTAKBANK,2026-03-25,371.1,2026-04-23,370.05,-0.28,17,Oversold-Decel,ExitReason.ST_CROSS
KOTAKBANK,2026-05-18,391.8,2026-05-20,376.3,-3.96,2,SavgolCTS Universal-Cross-ReboundBypass,ExitReason.PRT_ST_CROSS
LT,2019-02-07,1296.05,2019-04-25,1366.85,5.46,51,SavgolCTS SpringBoard,ExitReason.TIME_DECAY
LT,2019-07-23,1409.5,2019-09-17,1344.0,-4.65,36,SavgolCTS Trend-Pullback-CWCBypass,ExitReason.CTS_NEAR_MISS_ROLLOVER
LT,2019-11-28,1349.9,2019-12-27,1281.55,-5.06,20,Oversold-Decel,ExitReason.CTS_NEAR_MISS_ROLLOVER
LT,2020-05-06,837.3,2020-07-17,922.1,10.13,51,SavgolCTS SpringBoard,ExitReason.TIME_DECAY
LT,2020-09-22,856.5,2020-10-30,941.0,9.87,27,Oversold-Decel,ExitReason.PRT_ST_CROSS
LT,2022-04-27,1677.05,2022-06-21,1480.0,-11.75,38,SavgolCTS SpringBoard,ExitReason.HARD_STOP
LT,2022-06-28,1551.5,2022-07-20,1740.35,12.17,16,SavgolCTS Universal-Cross-ReboundBypass,ExitReason.ST_CROSS
LT,2023-02-08,2130.85,2023-04-18,2220.0,4.18,44,SavgolCTS Flow-Momentum,ExitReason.PRT_ST_CROSS
LT,2024-02-22,3363.75,2024-03-14,3527.05,4.85,14,Oversold-Decel,ExitReason.CWC_SLOPE_EARLY_RELEASE
LT,2025-07-16,3503.8,2025-08-12,3680.0,5.03,19,SavgolCTS Trend-Pullback-CWCBypass,ExitReason.ST_CROSS
LT,2026-03-24,3516.8,2026-04-27,4058.0,15.39,20,SavgolCTS Flow-Momentum,ExitReason.CWC_SLOPE_EARLY_RELEASE
M&M,2019-02-22,646.6,2019-03-22,678.7,4.96,18,SavgolCTS Universal-Cross,ExitReason.PRT_ST_CROSS
M&M,2019-05-21,639.15,2019-05-31,659.7,3.22,8,SavgolCTS Flow-Momentum,ExitReason.ST_CROSS
M&M,2019-08-02,556.45,2019-08-30,530.6,-4.65,18,SavgolCTS Universal-Cross,ExitReason.CTS_NEAR_MISS_ROLLOVER
M&M,2019-09-12,543.6,2019-11-29,543.0,-0.11,51,SavgolCTS SpringBoard,ExitReason.TIME_DECAY
M&M,2019-12-18,522.65,2020-01-06,529.9,1.39,12,Oversold-Decel,ExitReason.ST_CROSS
M&M,2020-02-26,503.0,2020-04-23,338.0,-32.8,36,SavgolCTS Trend-Pullback-CWCBypass,ExitReason.ST_CROSS
M&M,2020-05-04,357.05,2020-05-15,402.75,12.8,9,SavgolCTS Universal-Cross-ReboundBypass,ExitReason.PRT_ST_CROSS
M&M,2021-04-13,811.25,2021-06-01,813.0,0.22,32,Oversold-Decel,ExitReason.ST_CROSS
M&M,2021-07-22,758.45,2021-08-23,790.0,4.16,21,Oversold-Decel,ExitReason.ST_CROSS
M&M,2021-12-07,825.95,2022-01-25,846.1,2.44,35,SavgolCTS Trend-Pullback-CWCBypass,ExitReason.CTS_NEAR_MISS_ROLLOVER
M&M,2023-03-24,1150.8,2023-04-24,1210.4,5.18,17,Oversold-Decel,ExitReason.ST_CROSS
M&M,2024-01-18,1617.25,2024-03-13,1896.0,17.24,36,Oversold-Decel,ExitReason.STRUCTURAL_CLIMAX
M&M,2024-09-13,2739.1,2024-10-18,2945.35,7.53,24,SavgolCTS SpringBoard,ExitReason.STRUCTURAL_CLIMAX
M&M,2026-03-04,3264.3,2026-04-20,3207.0,-1.76,29,Oversold-Decel,ExitReason.ST_CROSS
MARUTI,2019-04-02,6889.7,2019-04-24,7065.0,2.54,14,SavgolCTS Universal-Cross-ReboundBypass,ExitReason.ST_CROSS
MARUTI,2019-07-18,5882.35,2019-08-27,6297.5,7.06,26,Oversold-Decel,ExitReason.ST_CROSS
MARUTI,2020-03-11,6146.3,2020-04-22,5009.0,-18.5,26,Oversold-Decel,ExitReason.ST_CROSS
